time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol,symbol
2020-01-17,18.46,17.37,17.04,1673358.85,30185243.79,18.04,multiply,BTC,BNB
2020-01-18,18.27,17.64,18.04,1226053.85,21802821.06,17.78,multiply,BTC,BNB
2020-01-19,17.56,16.9,17.78,1015033.24,17649169.41,17.39,multiply,BTC,BNB
2020-01-20,17.36,16.98,17.39,1035420.15,17897576.97,17.29,multiply,BTC,BNB
2020-01-21,18.13,17.4,17.29,1319313.66,23850378.83,18.08,multiply,BTC,BNB
2020-01-22,18.19,17.6,18.08,1002618.25,17849163.57,17.8,multiply,BTC,BNB
2020-01-23,17.24,16.86,17.8,822283.36,14005125.35,17.03,multiply,BTC,BNB
2020-01-24,17.33,16.75,17.03,847229.4,14458751.47,17.07,multiply,BTC,BNB
2020-01-25,18.8,16.41,16.51,131038.17,2197029.41,16.51,direct,,BNB
2020-01-26,17.63,17.39,16.97,913159.17,15962036.76,17.48,multiply,BTC,BNB
2020-01-27,18.11,17.55,17.48,729650.81,12875854.54,17.65,multiply,BTC,BNB
2020-01-28,18.73,17.96,17.65,740178.36,13395989.4,18.1,multiply,BTC,BNB
2020-01-29,18.27,17.76,18.1,793784.43,14182237.09,17.87,multiply,BTC,BNB
2020-01-30,18.62,18.16,17.87,1022815.87,18969852.71,18.55,multiply,BTC,BNB
2020-01-31,18.67,18.0,18.55,838455.53,15297935.72,18.25,multiply,BTC,BNB
2020-02-01,18.47,18.13,18.25,741126.88,13520652.48,18.24,multiply,BTC,BNB
2020-02-02,18.58,18.05,18.24,883365.33,16284966.84,18.44,multiply,BTC,BNB
2020-02-03,18.5,18.14,18.44,779911.87,14380471.78,18.44,multiply,BTC,BNB
2020-02-04,18.3,17.95,18.44,677867.69,12291777.85,18.13,multiply,BTC,BNB
2020-02-05,19.68,18.96,18.13,1258613.93,24242522.47,19.26,multiply,BTC,BNB
2020-02-06,20.7,19.39,19.26,1623400.43,33496597.71,20.63,multiply,BTC,BNB
2020-02-07,22.48,20.53,20.63,1971308.87,43446434.98,22.04,multiply,BTC,BNB
2020-02-08,22.42,21.36,22.04,1358671.33,29600079.15,21.79,multiply,BTC,BNB
2020-02-09,24.36,22.33,21.79,1769754.29,43090329.03,24.35,multiply,BTC,BNB
2020-02-10,25.59,23.21,24.35,2624871.76,65958088.55,25.13,multiply,BTC,BNB
2020-02-11,26.38,24.66,25.13,1897500.0,48968929.73,25.81,multiply,BTC,BNB
2020-02-12,26.86,25.41,25.81,1753500.57,46433313.85,26.48,multiply,BTC,BNB
2020-02-13,26.8,24.93,26.48,1815857.25,46232633.8,25.46,multiply,BTC,BNB
2020-02-14,26.57,25.62,25.46,1945359.67,51394347.21,26.42,multiply,BTC,BNB
2020-02-15,25.61,23.69,26.42,1941086.0,47068409.58,24.25,multiply,BTC,BNB
2020-02-16,24.95,22.43,24.25,2004631.68,46837518.66,23.36,multiply,BTC,BNB
2020-02-17,23.63,21.83,23.36,1911329.93,44878029.81,23.48,multiply,BTC,BNB
2020-02-18,25.03,23.98,23.48,1540359.36,37126071.24,24.1,multiply,BTC,BNB
2020-02-19,23.12,22.0,24.1,1143071.39,25574692.81,22.37,multiply,BTC,BNB
2020-02-20,22.64,21.37,22.37,1174459.84,26057410.68,22.19,multiply,BTC,BNB
2020-02-21,22.8,21.94,22.19,1345813.18,29887952.88,22.21,multiply,BTC,BNB
2020-02-22,22.34,21.72,22.21,1087781.55,23944511.77,22.01,multiply,BTC,BNB
2020-02-23,23.15,22.67,22.01,1572310.57,36065690.69,22.94,multiply,BTC,BNB
2020-02-24,22.67,21.83,22.94,1102988.71,24356990.68,22.08,multiply,BTC,BNB
2020-02-25,21.32,20.12,22.08,1127987.65,22929625.52,20.33,multiply,BTC,BNB
2020-02-26,19.26,18.1,20.33,1443703.76,27066185.62,18.75,multiply,BTC,BNB
2020-02-27,19.42,18.28,18.75,1943282.26,37251009.86,19.17,multiply,BTC,BNB
2020-02-28,19.4,18.45,19.17,1618685.01,30880959.44,19.08,multiply,BTC,BNB
2020-02-29,19.92,18.54,19.08,2202690.72,42483473.56,19.29,multiply,BTC,BNB
2020-03-01,19.65,18.72,19.29,1706157.77,32367645.69,18.97,multiply,BTC,BNB
2020-03-02,20.17,19.69,18.97,2081314.36,41510854.68,19.94,multiply,BTC,BNB
2020-03-03,20.14,19.43,19.94,1789847.51,35222322.52,19.68,multiply,BTC,BNB
2020-03-04,20.16,19.64,19.68,2253951.35,45088535.07,20.0,multiply,BTC,BNB
2020-03-05,21.39,20.6,20.0,2690243.0,55955675.49,20.8,multiply,BTC,BNB
2020-03-06,21.8,20.96,20.8,2970026.14,63636232.14,21.43,multiply,BTC,BNB
2020-03-07,20.98,19.85,21.43,2033475.03,41280522.43,20.3,multiply,BTC,BNB
2020-03-08,18.48,16.84,20.3,1782566.67,30191728.03,16.94,multiply,BTC,BNB
2020-03-09,17.37,16.24,16.94,2089749.26,34764177.62,16.64,multiply,BTC,BNB
2020-03-10,17.01,16.44,16.64,2285162.07,38534673.73,16.86,multiply,BTC,BNB
2020-03-11,17.13,16.14,16.86,1592411.91,26417972.95,16.59,multiply,BTC,BNB
2020-03-12,10.28,8.875,16.59,3521250.75,33154807.23,9.416,multiply,BTC,BNB
2020-03-13,11.61,9.423,9.416,5153903.25,56956413.39,11.05,multiply,BTC,BNB
2020-03-14,10.46,10.1,11.05,3438620.96,34923560.15,10.16,multiply,BTC,BNB
2020-03-15,10.69,10.15,10.16,3139645.76,32545045.83,10.37,multiply,BTC,BNB
2020-03-16,9.843,9.318,10.37,2434247.91,23026463.82,9.459,multiply,BTC,BNB
2020-03-17,10.39,9.96,9.459,3184532.47,32738054.75,10.28,multiply,BTC,BNB
2020-03-18,10.6,10.31,10.28,2602141.62,27128766.83,10.43,multiply,BTC,BNB
2020-03-19,12.33,11.79,10.43,2819044.2,34661674.78,12.3,multiply,BTC,BNB
2020-03-20,12.53,11.24,12.3,2474032.0,29466112.91,11.91,multiply,BTC,BNB
2020-03-21,12.11,11.77,11.91,3065282.21,37126899.36,12.11,multiply,BTC,BNB
2020-03-22,11.41,11.09,12.11,2366145.76,26463494.38,11.18,multiply,BTC,BNB
2020-03-23,12.51,12.11,11.18,1923955.67,23561043.94,12.25,multiply,BTC,BNB
2020-03-24,12.75,12.36,12.25,1609142.29,20047303.52,12.46,multiply,BTC,BNB
2020-03-25,12.57,12.22,12.46,1486234.31,18336310.32,12.34,multiply,BTC,BNB
2020-03-26,13.3,12.37,12.34,1898084.71,25154063.83,13.25,multiply,BTC,BNB
2020-03-27,12.57,12.24,13.25,1516240.68,18784728.22,12.39,multiply,BTC,BNB
2020-03-28,12.3,11.97,12.39,1635904.26,19976211.73,12.21,multiply,BTC,BNB
2020-03-29,11.52,11.29,12.21,1473218.49,16655601.87,11.31,multiply,BTC,BNB
2020-03-30,12.42,12.06,11.31,1404192.89,17083816.51,12.17,multiply,BTC,BNB
2020-03-31,12.73,12.13,12.28,261436.19,3260516.41,12.55,direct,,BNB
2020-04-01,13.17,12.71,12.57,2076171.69,26549057.88,12.79,multiply,BTC,BNB
2020-04-02,13.3,12.89,12.79,2295089.02,29906075.54,13.03,multiply,BTC,BNB
2020-04-03,13.43,12.89,13.03,2690262.11,36030541.84,13.39,multiply,BTC,BNB
2020-04-04,14.06,13.19,13.37,397480.98,5416100.67,13.76,direct,,BNB
2020-04-05,13.96,13.42,13.76,348270.56,4777737.34,13.69,direct,,BNB
2020-04-06,15.33,14.63,13.7,2575544.92,39189730.05,15.22,multiply,BTC,BNB
2020-04-07,15.02,14.45,15.22,2167616.01,31907327.35,14.72,multiply,BTC,BNB
2020-04-08,15.53,15.11,14.71,1928960.0,29158448.13,15.12,multiply,ETH,BNB
2020-04-09,15.09,14.81,15.12,1738406.09,26127242.21,15.03,multiply,ETH,BNB
2020-04-10,14.45,13.74,15.03,2199485.11,30229262.34,13.74,multiply,ETH,BNB
2020-04-11,14.05,13.69,13.74,2076081.56,28744479.0,13.85,multiply,ETH,BNB
2020-04-12,14.43,13.82,13.85,2358183.0,33715001.31,14.3,multiply,ETH,BNB
2020-04-13,15.13,14.02,14.3,2892890.56,43560730.63,15.06,multiply,ETH,BNB
2020-04-14,15.91,15.08,15.06,2978056.62,46547114.31,15.63,multiply,ETH,BNB
2020-04-15,15.33,14.51,15.63,2826565.31,41208023.62,14.58,multiply,ETH,BNB
2020-04-16,16.84,15.47,14.58,2980607.57,46917808.74,15.74,multiply,ETH,BNB
2020-04-17,15.89,15.35,15.74,2597134.97,40706809.43,15.67,multiply,ETH,BNB
2020-04-18,17.46,16.56,15.67,2888310.79,48083091.49,16.65,multiply,ETH,BNB
2020-04-19,16.27,15.87,16.65,2872951.94,46184160.75,16.08,multiply,ETH,BNB
2020-04-20,15.33,14.85,16.08,2849931.63,42697937.87,14.98,multiply,ETH,BNB
2020-04-21,15.32,14.87,14.98,2437121.9,36861346.88,15.12,multiply,ETH,BNB
2020-04-22,16.23,15.66,15.12,2513976.71,39615027.79,15.76,multiply,ETH,BNB
2020-04-23,16.15,15.67,15.76,2518261.98,40451287.41,16.06,multiply,ETH,BNB
2020-04-24,16.27,15.88,16.06,2317085.25,36950539.95,15.95,multiply,ETH,BNB
2020-04-25,22.61,15.97,15.95,2282418.12,37060528.45,16.24,multiply,ETH,BNB
2020-04-26,16.63,16.27,16.24,2374416.54,38968412.33,16.41,multiply,ETH,BNB
2020-04-27,16.63,16.15,16.41,2431038.67,39887306.85,16.41,multiply,ETH,BNB
2020-04-28,16.65,16.27,16.41,2356761.07,38531212.29,16.35,multiply,ETH,BNB
2020-04-29,17.95,17.08,16.35,2834795.45,49335382.46,17.4,multiply,ETH,BNB
2020-04-30,17.09,16.32,17.4,2826433.16,48039889.52,17.0,multiply,ETH,BNB
2020-05-01,17.72,17.25,17.0,2795874.14,48770764.94,17.44,multiply,ETH,BNB
2020-05-02,17.64,17.42,17.44,2530162.72,44414161.38,17.55,multiply,ETH,BNB
2020-05-03,17.29,16.92,17.55,2776334.92,47530548.43,17.12,multiply,ETH,BNB
2020-05-04,17.52,16.83,17.12,2601440.8,44294792.86,17.03,multiply,ETH,BNB
2020-05-05,17.16,16.72,17.03,2479675.91,41923618.76,16.91,multiply,ETH,BNB
2020-05-06,16.45,16.1,16.91,2534452.73,41509180.64,16.38,multiply,ETH,BNB
2020-05-07,17.5,16.87,16.38,2744395.08,46731083.54,17.03,multiply,ETH,BNB
2020-05-08,17.26,16.84,17.03,2465816.14,42308496.51,17.16,multiply,ETH,BNB
2020-05-09,17.22,15.81,17.16,2540218.52,42695992.88,16.81,multiply,ETH,BNB
2020-05-10,15.37,14.27,16.81,2803964.93,43020592.37,15.34,multiply,ETH,BNB
2020-05-11,15.21,14.65,15.34,2600979.65,39238433.1,15.09,multiply,ETH,BNB
2020-05-12,16.07,15.18,15.09,2400773.7,37890424.59,15.78,multiply,ETH,BNB
2020-05-13,16.86,16.17,15.78,2294688.6,37205692.01,16.21,multiply,ETH,BNB
2020-05-14,16.81,16.28,16.21,2271738.58,37191373.79,16.37,multiply,ETH,BNB
2020-05-15,15.95,15.58,16.37,2036900.44,31972362.56,15.7,multiply,ETH,BNB
2020-05-16,19.02,15.93,15.7,2034088.15,32624322.65,16.04,multiply,ETH,BNB
2020-05-17,16.72,16.18,16.04,2095591.85,34140116.26,16.29,multiply,ETH,BNB
2020-05-18,17.05,16.55,16.29,2149906.71,35745518.29,16.63,multiply,ETH,BNB
2020-05-19,17.27,13.61,16.63,1982296.54,34121916.57,17.21,multiply,ETH,BNB
2020-05-20,16.99,16.71,17.21,1903979.46,32143804.71,16.88,multiply,ETH,BNB
2020-05-21,18.94,12.47,16.88,2008734.13,32347079.58,16.1,multiply,ETH,BNB
2020-05-22,16.98,14.14,16.1,1992555.04,33028954.19,16.58,multiply,ETH,BNB
2020-05-23,18.55,13.51,16.58,1832851.39,30224683.5,16.49,multiply,ETH,BNB
2020-05-24,16.07,15.81,16.49,1842769.36,29392973.27,15.95,multiply,ETH,BNB
2020-05-25,16.4,16.22,15.95,1955771.88,32029644.79,16.38,multiply,ETH,BNB
2020-05-26,16.3,16.02,16.38,1872809.23,30360221.3,16.21,multiply,ETH,BNB
2020-05-27,18.31,14.11,16.21,1882334.36,30988921.02,16.46,multiply,ETH,BNB
2020-05-28,17.67,17.08,16.46,2047984.66,35019894.62,17.1,multiply,ETH,BNB
2020-05-29,17.14,16.78,17.1,2034499.99,34561132.06,16.99,multiply,ETH,BNB
2020-05-30,18.9,17.49,16.99,1296370.84,23015531.05,17.75,multiply,ETH,BNB
2020-05-31,17.41,16.77,17.75,2117312.49,36189962.17,17.09,multiply,ETH,BNB
2020-06-01,18.36,17.76,17.09,1793169.16,32152761.04,17.93,multiply,ETH,BNB
2020-06-02,17.33,16.68,17.94,1974156.02,34105682.27,17.28,multiply,BTC,BNB
2020-06-03,18.02,17.53,17.26,1005109.23,17666329.72,17.58,multiply,ETH,BNB
2020-06-04,17.69,17.32,17.58,1064330.68,18630220.37,17.5,multiply,ETH,BNB
2020-06-05,17.71,17.22,17.5,1140013.72,20119282.25,17.65,multiply,ETH,BNB
2020-06-06,17.86,17.52,17.65,1020365.08,17888462.65,17.53,multiply,ETH,BNB
2020-06-07,17.86,17.37,17.53,1114956.02,19451277.43,17.45,multiply,ETH,BNB
2020-06-08,17.75,17.34,17.45,761578.31,13268951.71,17.42,multiply,ETH,BNB
2020-06-09,17.47,17.1,17.42,807094.43,14039213.91,17.39,multiply,ETH,BNB
2020-06-10,17.75,17.37,17.39,962446.29,16782737.16,17.44,multiply,ETH,BNB
2020-06-11,16.43,16.09,17.44,1079386.26,17510773.95,16.22,multiply,ETH,BNB
2020-06-12,16.89,16.51,16.22,1009410.77,16769893.88,16.61,multiply,ETH,BNB
2020-06-13,16.88,16.62,16.61,856213.51,14415795.28,16.84,multiply,ETH,BNB
2020-06-14,16.56,16.31,16.84,770141.79,12741150.53,16.54,multiply,ETH,BNB
2020-06-15,16.61,16.2,16.54,1102931.84,18046858.11,16.36,multiply,ETH,BNB
2020-06-16,16.91,16.35,16.36,904601.46,14836858.39,16.4,multiply,ETH,BNB
2020-06-17,16.59,12.47,16.4,967199.14,15826472.97,16.36,multiply,ETH,BNB
2020-06-18,16.37,16.07,16.36,811526.34,13089100.22,16.13,multiply,ETH,BNB
2020-06-19,22.02,15.91,16.13,776547.8,12396776.46,15.96,multiply,ETH,BNB
2020-06-20,16.09,15.85,15.96,725061.21,11653659.26,16.07,multiply,ETH,BNB
2020-06-21,16.17,15.84,16.07,598282.76,9533294.88,15.93,multiply,ETH,BNB
2020-06-22,17.13,16.23,15.93,718364.38,11842960.92,16.49,multiply,ETH,BNB
2020-06-23,16.44,16.3,16.51,682139.82,11180396.41,16.39,multiply,BTC,BNB
2020-06-24,16.21,15.79,16.39,873778.38,13974468.47,15.99,multiply,BTC,BNB
2020-06-25,16.02,15.86,15.99,665242.24,10580219.95,15.9,multiply,BTC,BNB
2020-06-26,15.84,15.62,15.9,547186.96,8624234.73,15.76,multiply,BTC,BNB
2020-06-27,15.56,15.06,15.76,917967.26,13882407.91,15.12,multiply,BTC,BNB
2020-06-28,15.43,15.12,15.12,1294630.96,19919318.73,15.39,multiply,BTC,BNB
2020-06-29,15.67,15.41,15.39,1171921.58,18141595.62,15.48,multiply,BTC,BNB
2020-06-30,15.46,15.32,15.48,1278246.28,19690218.72,15.4,multiply,BTC,BNB
2020-07-01,15.93,15.52,15.4,1114770.27,17642597.95,15.83,multiply,BTC,BNB
2020-07-02,15.71,15.28,15.83,1071885.51,16471484.56,15.37,multiply,BTC,BNB
2020-07-03,15.39,15.26,15.37,1019542.48,15584778.92,15.29,multiply,BTC,BNB
2020-07-04,15.57,15.38,15.29,1134100.18,17656994.64,15.57,multiply,BTC,BNB
2020-07-05,15.51,15.37,15.57,1038243.75,16094873.38,15.5,multiply,BTC,BNB
2020-07-06,16.35,15.81,15.5,1178283.66,19218516.12,16.31,multiply,BTC,BNB
2020-07-07,16.83,16.05,16.31,1718653.19,28860962.3,16.79,multiply,BTC,BNB
2020-07-08,17.6,16.98,16.79,1541774.07,26617645.14,17.26,multiply,BTC,BNB
2020-07-09,17.18,16.52,17.26,1276259.25,21483740.21,16.83,multiply,BTC,BNB
2020-07-10,17.42,16.71,16.83,1095544.03,18957957.7,17.3,multiply,BTC,BNB
2020-07-11,17.66,17.09,17.28,250462.07,4413332.65,17.62,multiply,ETH,BNB
2020-07-12,18.68,17.73,17.63,1270696.76,23270994.76,18.31,multiply,BTC,BNB
2020-07-13,18.83,17.65,18.31,1656588.17,30484331.55,18.4,multiply,BTC,BNB
2020-07-14,18.8,17.94,18.4,1272923.73,23046122.37,18.1,multiply,BTC,BNB
2020-07-15,18.01,17.4,18.1,1034794.58,18208062.35,17.6,multiply,BTC,BNB
2020-07-16,17.58,16.66,17.6,966155.12,16571691.59,17.15,multiply,BTC,BNB
2020-07-17,17.56,17.01,17.15,855831.41,14615386.75,17.08,multiply,BTC,BNB
2020-07-18,17.3,16.92,17.08,829914.03,14242487.8,17.16,multiply,BTC,BNB
2020-07-19,18.42,17.2,17.15,242985.32,4376959.2,18.01,multiply,ETH,BNB
2020-07-20,18.27,17.28,18.02,1255209.49,21936730.08,17.48,multiply,BTC,BNB
2020-07-21,18.16,17.59,17.48,1012506.67,17955452.11,17.73,multiply,BTC,BNB
2020-07-22,18.19,17.79,17.73,919998.8,16671073.78,18.12,multiply,BTC,BNB
2020-07-23,18.78,18.24,18.12,1216153.69,22837548.31,18.78,multiply,BTC,BNB
2020-07-24,19.48,18.34,18.78,1479733.09,28404900.61,19.2,multiply,BTC,BNB
2020-07-25,20.19,19.48,19.2,1594963.57,31619472.08,19.82,multiply,BTC,BNB
2020-07-26,20.64,19.34,19.82,1432360.52,28039628.41,19.58,multiply,BTC,BNB
2020-07-27,21.9,19.06,19.58,1944877.65,38465606.45,19.78,multiply,BTC,BNB
2020-07-28,20.55,19.33,19.78,1461855.48,29520316.65,20.19,multiply,BTC,BNB
2020-07-29,20.72,19.63,20.19,1087850.86,21650041.91,19.9,multiply,BTC,BNB
2020-07-30,20.14,19.73,19.9,946766.62,18939676.17,20.0,multiply,BTC,BNB
2020-07-31,21.34,20.23,20.0,1081846.61,22377624.8,20.68,multiply,BTC,BNB
2020-08-01,21.81,21.05,20.68,1119493.75,24213016.49,21.63,multiply,BTC,BNB
2020-08-02,20.98,19.74,21.63,1185966.63,24851063.79,20.95,multiply,BTC,BNB
2020-08-03,22.53,21.07,20.95,1346824.62,29732829.54,22.08,multiply,BTC,BNB
2020-08-04,22.38,21.69,22.08,1163343.54,25954195.24,22.31,multiply,BTC,BNB
2020-08-05,24.41,23.07,22.31,1742688.36,40591678.59,23.29,multiply,BTC,BNB
2020-08-06,23.38,22.57,23.29,972430.83,22126559.74,22.75,multiply,BTC,BNB
2020-08-07,22.65,21.91,22.75,974040.52,21757487.42,22.34,multiply,BTC,BNB
2020-08-08,23.0,22.26,22.34,906052.36,20775291.31,22.93,multiply,BTC,BNB
2020-08-09,22.85,22.32,22.93,777942.16,17464380.73,22.45,multiply,BTC,BNB
2020-08-10,22.9,22.25,22.45,817134.98,18500566.15,22.64,multiply,BTC,BNB
2020-08-11,21.8,21.0,22.64,892521.66,18957609.58,21.24,multiply,BTC,BNB
2020-08-12,22.15,21.24,21.24,1111680.84,23923986.88,21.52,multiply,BTC,BNB
2020-08-13,22.0,21.48,21.52,1117631.61,24365450.21,21.8,multiply,BTC,BNB
2020-08-14,23.44,21.45,21.8,1816239.62,42000826.87,23.13,multiply,BTC,BNB
2020-08-15,23.78,22.6,23.13,1259495.31,29011072.92,23.03,multiply,BTC,BNB
2020-08-16,23.93,22.86,23.03,1451960.16,34158920.4,23.53,multiply,BTC,BNB
2020-08-17,24.36,23.03,23.53,1149681.26,27068644.74,23.54,multiply,BTC,BNB
2020-08-18,23.21,22.54,23.54,1120624.45,25779597.41,23.0,multiply,BTC,BNB
2020-08-19,22.8,22.12,23.0,878405.62,19658703.82,22.38,multiply,BTC,BNB
2020-08-20,23.43,22.37,22.38,1162863.72,26859940.41,23.1,multiply,BTC,BNB
2020-08-21,22.66,21.79,23.1,1066492.15,23530387.34,22.06,multiply,BTC,BNB
2020-08-22,22.38,21.82,22.06,852471.48,18942325.2,22.22,multiply,BTC,BNB
2020-08-23,22.25,21.63,22.22,659712.98,14412485.59,21.85,multiply,BTC,BNB
2020-08-24,22.87,21.96,21.85,833743.83,18848911.33,22.61,multiply,BTC,BNB
2020-08-25,21.89,21.11,22.61,915700.59,19609506.9,21.41,multiply,BTC,BNB
2020-08-26,22.59,21.65,21.41,1075187.74,23893717.4,22.22,multiply,BTC,BNB
2020-08-27,23.19,21.94,22.22,1331127.13,30784460.42,23.13,multiply,BTC,BNB
2020-08-28,23.88,22.84,23.13,1073957.18,24801419.85,23.09,multiply,BTC,BNB
2020-08-29,23.4,22.73,23.09,933885.67,21453632.97,22.97,multiply,BTC,BNB
2020-08-30,23.96,23.14,22.97,820311.8,19395433.92,23.64,multiply,BTC,BNB
2020-08-31,23.83,23.0,23.64,748154.88,17321589.02,23.15,multiply,BTC,BNB
2020-09-01,25.34,23.09,23.15,2052863.69,50779543.98,24.74,multiply,BTC,BNB
2020-09-02,25.04,23.62,24.74,2692285.64,66528120.61,24.71,multiply,BTC,BNB
2020-09-03,22.76,20.32,24.71,2818468.77,57411051.13,20.37,multiply,BTC,BNB
2020-09-04,21.78,20.32,20.37,1392825.79,29289546.86,21.03,multiply,BTC,BNB
2020-09-05,20.75,18.53,21.03,1723940.69,33603049.33,19.49,multiply,BTC,BNB
2020-09-06,23.51,20.02,19.48,864231.34,20028785.92,23.18,multiply,ETH,BNB
2020-09-07,23.74,21.08,23.21,2356484.85,52927425.3,22.46,multiply,BTC,BNB
2020-09-08,23.4,21.63,22.46,2091443.85,48636794.1,23.26,multiply,BTC,BNB
2020-09-09,24.53,22.93,23.26,1696961.78,41607048.11,24.52,multiply,BTC,BNB
2020-09-10,25.51,24.03,24.52,1606020.39,39361818.7,24.51,multiply,BTC,BNB
2020-09-11,25.79,23.5,24.51,1455763.05,37011803.82,25.42,multiply,BTC,BNB
2020-09-12,28.56,25.51,25.42,2014721.92,57487043.73,28.53,multiply,BTC,BNB
2020-09-13,31.75,27.9,28.53,3422664.44,106729159.08,31.18,multiply,BTC,BNB
2020-09-14,33.78,29.49,31.18,2927976.69,91233729.2,31.16,multiply,BTC,BNB
2020-09-15,31.64,26.79,31.16,3108449.08,84260658.03,27.11,multiply,BTC,BNB
2020-09-16,28.63,26.53,27.11,2388025.85,66513560.3,27.85,multiply,BTC,BNB
2020-09-17,28.67,26.27,27.85,1819461.11,49307699.28,27.1,multiply,BTC,BNB
2020-09-18,28.55,26.7,27.1,1697189.49,46966090.04,27.67,multiply,BTC,BNB
2020-09-19,28.36,27.0,27.67,971719.05,26429960.32,27.2,multiply,BTC,BNB
2020-09-20,27.17,25.27,27.2,903691.63,23826142.41,26.37,multiply,BTC,BNB
2020-09-21,25.39,22.26,26.37,1307448.49,30102810.92,23.02,multiply,BTC,BNB
2020-09-22,24.61,23.05,23.02,952262.26,22902658.3,24.05,multiply,BTC,BNB
2020-09-23,23.73,22.66,24.05,1065277.57,24310382.62,22.82,multiply,BTC,BNB
2020-09-24,24.87,23.75,22.82,873872.54,21470345.07,24.57,multiply,BTC,BNB
2020-09-25,25.03,24.01,24.57,859724.82,21219752.9,24.68,multiply,BTC,BNB
2020-09-26,26.47,24.61,24.68,989044.92,25915207.63,26.2,multiply,BTC,BNB
2020-09-27,26.93,25.62,26.2,991225.72,26022529.33,26.25,multiply,BTC,BNB
2020-09-28,27.28,25.44,26.25,1029240.84,27771880.02,26.98,multiply,BTC,BNB
2020-09-29,29.1,27.26,26.98,1129989.52,32574196.72,28.83,multiply,BTC,BNB
2020-09-30,29.64,28.13,28.83,1140073.47,33451558.34,29.34,multiply,BTC,BNB
2020-10-01,28.92,26.56,29.34,1132360.89,31094530.56,27.46,multiply,BTC,BNB
2020-10-02,28.13,26.1,27.46,1021184.21,27909003.02,27.33,multiply,BTC,BNB
2020-10-03,28.42,27.12,27.33,1013832.09,28627839.35,28.24,multiply,BTC,BNB
2020-10-04,29.3,28.36,28.24,1057509.81,30696061.12,29.03,multiply,BTC,BNB
2020-10-05,29.58,28.42,29.03,735714.28,21046608.94,28.61,multiply,BTC,BNB
2020-10-06,28.65,27.31,28.61,919123.37,25467061.79,27.71,multiply,BTC,BNB
2020-10-07,27.94,27.07,27.71,739026.88,20475664.47,27.71,multiply,BTC,BNB
2020-10-08,28.39,27.39,27.71,614767.69,17032771.45,27.71,multiply,BTC,BNB
2020-10-09,28.62,27.88,27.71,777058.97,22067656.54,28.4,multiply,BTC,BNB
2020-10-10,29.45,28.16,28.4,720292.77,20465064.05,28.41,multiply,BTC,BNB
2020-10-11,28.71,28.05,28.41,700518.35,19993602.52,28.54,multiply,BTC,BNB
2020-10-12,31.37,28.91,28.54,1379789.67,42385539.65,30.72,multiply,BTC,BNB
2020-10-13,31.59,30.17,30.72,1348814.35,41446344.16,30.73,multiply,BTC,BNB
2020-10-14,31.32,30.55,30.73,739477.61,22828072.62,30.87,multiply,BTC,BNB
2020-10-15,31.95,30.96,30.87,934894.16,29329175.24,31.37,multiply,BTC,BNB
2020-10-16,31.4,29.62,31.37,811149.72,24337116.68,30.0,multiply,BTC,BNB
2020-10-17,30.61,29.91,30.0,750322.78,22696751.36,30.25,multiply,BTC,BNB
2020-10-18,31.27,30.58,30.25,798862.37,24511513.63,30.68,multiply,BTC,BNB
2020-10-19,31.33,29.86,30.68,626177.3,18736013.55,29.92,multiply,BTC,BNB
2020-10-20,30.63,28.33,29.92,1058344.77,30521378.15,28.84,multiply,BTC,BNB
2020-10-21,31.39,28.53,28.84,885643.04,26383731.93,29.79,multiply,BTC,BNB
2020-10-22,31.63,29.96,29.79,977995.39,30033212.51,30.71,multiply,BTC,BNB
2020-10-23,31.06,30.4,30.71,691407.65,21190418.47,30.65,multiply,BTC,BNB
2020-10-24,31.24,30.44,30.65,594984.79,18243804.23,30.66,multiply,BTC,BNB
2020-10-25,31.04,30.02,30.66,531230.48,16024205.52,30.16,multiply,BTC,BNB
2020-10-26,31.43,30.06,30.16,911530.85,28329562.58,31.08,multiply,BTC,BNB
2020-10-27,33.05,30.94,31.08,870346.33,27447200.28,31.54,multiply,BTC,BNB
2020-10-28,30.89,30.12,31.54,340144.88,10330787.58,30.37,multiply,BTC,BNB
2020-10-29,30.86,29.56,30.37,510002.3,15235083.19,29.87,multiply,BTC,BNB
2020-10-30,30.46,28.27,29.87,886115.56,25268140.7,28.52,multiply,BTC,BNB
2020-10-31,29.28,28.17,28.52,554301.41,15807481.73,28.52,multiply,BTC,BNB
2020-11-01,28.73,27.95,28.52,520517.9,14842195.14,28.51,multiply,BTC,BNB
2020-11-02,29.15,27.79,28.51,646123.94,17993378.68,27.85,multiply,BTC,BNB
2020-11-03,28.78,26.86,27.85,404910.65,10891128.76,26.9,multiply,BTC,BNB
2020-11-04,27.48,26.4,26.9,288991.12,7798319.42,26.98,multiply,BTC,BNB
2020-11-05,30.3,27.49,26.98,400076.95,11090556.27,27.72,multiply,BTC,BNB
2020-11-06,29.51,27.67,27.72,413333.93,12005418.36,29.05,multiply,BTC,BNB
2020-11-07,28.58,27.35,29.05,350637.55,9739671.68,27.78,multiply,BTC,BNB
2020-11-08,29.15,28.08,27.78,357758.09,10167820.76,28.42,multiply,BTC,BNB
2020-11-09,28.55,27.71,28.42,293030.19,8236817.84,28.11,multiply,BTC,BNB
2020-11-10,28.35,27.81,28.11,462119.01,13042479.27,28.22,multiply,BTC,BNB
